countries,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ghana,-306.1876149729824,-294.26041534821684,-317.95766862894897,-295.18034865293185,-261.47032029182293,-353.67050067659,-275.1616601223219,-169.91379310344828,-230.9623430962343,-202.66666666666669,-210.3858267716536,-276.07017543859655,-237.7313432835821,-268.40923123117483,-372.4220204104106,-296.77530422267535,-255.8037194908703,-106.62806875978092,-4061.5144634777002,-3281.9307826166987,-1586.8453590843774,-3020.7619129018235,-7904.471558548291,-8664.982264814402,-1912.9823006734362,-3274.3275950782995,-11743.012853598017,-48422.2937270259,-6889.609281900196,-4134.242259540606,-10802.76738906089,-9178.535057465308,-11338.281858624,-17905.92668898093,-15492.950811423287
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gambia, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,9676.130467085908,9706.864953442886,10527.683378250573,6351.087616665621,7977.461946902655,7527.51756332533,8830.479290923116,7339.946600307067,5866.42633987337,4894.953026658919,4470.060860092045,8059.672475471715,5450.332794446167,5547.9138513050475,6306.031593029759,8954.419596412426,10574.257406418863,9232.50819504302,8440.05296551916,10215.764624241563,7983.766388638715,4309.1137185514735,5780.53615221732,9884.731397634294,9802.797173227917,10670.133863502246,12235.914011313907,4715.711065346481,6134.700935142269,10522.240944621986,16006.043051857627,6900.111658592065,8081.417029884419,11976.326317317462,8459.870163691508
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,557.4300055701034,739.2600082572195,1252.272359852719,9381.325333333325,1994.9717222404022,2339.2184881927114,-541.8240899991542,-1188.8749637786145,-1090.1785714285716,-938.0640231003557,-1045.2633121495326,-1283.9503557312262,-469372.3394549638,-17103.290799136077,-25991.72677287464,-18919.186575654123,-11962.472829057706,-23012.869519379874,95015.96209036258,21938.274611533045,14107.597790655553,8995.054216421351,5989.6311541218965,11033.391819798459,7478.420066014255,10479.203444480023,15870.0676785585,8321.959289557535,18573.13863928113,6439.061271958802,19002.83172131948,29700.025856591714,51413.79393219428,50394.32478097617,36378.43389294113
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hong Kong SAR, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,-661.4911854103344,-653.5002184359984,-727.1698113207544,-898.5384980988593,-842.6681805830515,-318.7234420048792,-157.14013015184383,-212.02618863009027,-197.30129025903673,-168.7679461040688,-121.02322875136754,-76.06301824212272,-295.4414662030012,-405.1990866860876,-995.4754118552737,-5294.580239862935,-3312.618694362018,-4030.0523098624653,-12675.985692188695,-4682.1532649757155,-6068.2019438999105,70345.32683315095,5845.423262105283,5769.709619641898,3280.0849918467875,3864.294189376965,3944.633260135136,6727.152306384828,6921.616623526771,13219.280281542458,24515.379417856482,8623.500271932442,5066.90625839733,4957.065329455423,7115.546354269581
Haiti,-296.09318996415794,-582.2161172161171,-760.8129564941257,4420.216470588265,3405.128205128206,9043.199999999888,-638.1820473323066,-1087.0150515812613,-832.3963720048732,-993.2917744203986,-738.8639462704792,-834.9103416647558,-427.6742770167428,-243.02608695652174,-119.31721194879081,-7376.355555555582,2087.8292607485264,735.0873823698867,2843.0769230769165,-1426.0714285714291,-5606.681159420292,4200.82308420057,4472.1558552772385,3666.7756097560987,3442.1085635900417,3631.653069153058,3642.9759547383364,475.93965517241355,724.2013348164621,355.15815495579335,432.7353225044664,100.1851027237458,515.4158434650456,266.85103820771315,177.11911922116315
Hungary,343.264963087034,517.1134849833787,486.73936290976866,469.67273998169645,545.718262679693,408.9514512722911,386.16480901200276,390.32829382769063,345.9384070248002,306.17637624845673,314.98832223315316,332.5678314412685,261.73011899866555,273.93391142228785,245.50233315325886,256.34576798651835,323.2644854150158,351.0005179817109,238.28726960488467,266.20162302681655,254.90853059175606,256.9349769170215,253.563207770347,248.11969501884693,276.4670657670327,237.61241080101337,221.3723554247235,235.72770023588097,228.13048208288092,225.11479089718875,190.14198809826158,222.9221554462404,212.8344637164062,203.9735313098197,275.0984166212466
Indonesia,9383.68450821459,10735.325768731687,6660.965536419776,8675.694938027968,12383.224928044758,22112.725613742776,34519.64110832235,22367.25810922947,26431.672024024985,32838.13035245855,28642.297869432176,36956.48832279815,55011.36965820922,43983.405681529905,24672.783195134525,27913.784551016415,29057.67492013907,16590.176769810412,28670.76951740872,24691.585698515213,25189.51231635663,32136.129078201484,26902.02760293874,23930.55428542346,24532.115875743737,26936.590981304755,22331.366472945127,27769.21412219515,30642.450962947136,30715.02315630097,44769.21156606708,41475.67991361031,40324.37963034604,38428.33710341067,31387.78339382336
India,332342.85264192923,325173.72825138294,253913.11020752872,256721.49958026072,225896.1497863825,197496.78303603208,203923.71986982223,154681.23018498995,200086.08827610803,209747.73002492185,259790.73654605952,249769.29191497425,231604.96348708574,229194.82308420463,273892.90730847727,218418.769967521,209105.30786593386,218391.46908344116,242624.46201955556,225302.27140161075,201648.65573093054,194505.1059749201,167288.02885044925,204362.2534435899,236342.53540643756,293292.87721150735,326987.07483502186,351535.94462853664,319572.49976368505,297695.3750676017,297301.0920087693,347709.37545171427,307436.84432179126,331306.2497124167,308475.8800043442
Ireland,1584.9178478993722,1510.2636000945176,1395.2221667651918,1312.9267211827673,1124.601144700506,1435.2089817859435,1699.7354795697238,1324.6573130728452,1748.971135601837,1271.5759175208964,1222.8611136649058,1296.0111174157862,1412.683631416387,1284.8298952145383,1581.1049638712216,1169.3596965826885,1166.241790742768,1096.9562662058015,1487.320722729517,1346.9110261101966,1218.7422253424995,886.5383165386011,1338.2311279638893,796.7334187424025,820.1203767209815,794.2030931267575,821.822436718271,752.3581295369803,988.3768565288418,921.2657067688624,602.6553477075693,663.669939505348,806.4752918115254,572.2229988368265,661.8223013063381
"Iran, Islamic Rep.",25205.05128172348,22552.983186821097,22031.815536922546,17781.718080870287,14249.371266778186,13253.33246212987,18820.23150499066,19696.11725195468,17877.0635218684,16855.52493846928,13340.241616976482,15061.017338843863,19505.45585481035,21431.320069767582,14297.059726261956,14233.167950091305,13843.5507346128,11597.12332154291,12882.338439563237,11016.013447054165,6945.993048995284,9940.310164959601,15490.713339846732,21180.144631546922,20066.23761375855,32311.870458650246,36452.74749634196,33600.51036616594,8564.064005121894,12455.716636231682,16774.091759776264,22152.560629264302,23038.443405383656,27111.77359808922,25049.12219023804
Iraq,1976.8291014792392,1015.9233811561268,587.2716545890751,933.4779266200552,854.2168784442317,904.9706112320672,1005.6512771169616,5491.392327083661,6876.730561752181,7079.280744487577,4194.949474684548,1420.0054532419076,1546.9428387221194,1604.9830622863733,1681.667763157895,1672.529143923251,1487.448114036602,1675.2817271591805,1382.0150051078426,892.9884537510477,1020.7254955430653,1340.7469604488301,1045.40745984955,1330.5576998647114,1521.7356432658219,27853.357662932038,20319.32951130012,9258.416459410902,8580.833355207005,11498.331528365123,15075.483030811787,9879.185762965515,18090.316143963795,17616.254459803535,10374.470163260814
Iceland,-66.05265551839464,-85.33832913763831,-43.33947395353597,-20.594424018258806,-22.6669189294584,-21.091534861595935,-22.321839080459764,-22.729099947866228,0.0,0.0,0.0,0.0,0.0,-21.635549235691435,-20.82211764705883,-21.222659905851458,-21.4039434699655,-21.508671768553896,-45.34308943089433,-99.4715957563163,-25.317532926721473,-25.692494167294093,-24.853228930693717,-24.71303670666525,-24.985966295072252,-26.217684851897285,-31.727536445796815,-69.48924519241108,-29.619979033139796,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,3.4435050205322257,3.820259523420042,1.8332067532171405,3.6918409578003843,3.8007553458605026,11.299516682525603,17.676148909610863,18.14307246186864,5.570702314996907,6.277673780478733,12.379812793873946,63.64516572133911,56.37654578425919,48.85402586502254,51.2329874782293,48.21162083212464,50.39729509080101,49.30263196014779,61.391358851881485,57.61554417036648,19.243314448613795,37.56889296059069,55.86208464568428,46.877143746966276,45.16857655211265,25.55684028274326,22.64978533635015,25.842088060138693,36.21358445239738,46.96919281065637,45.879761977975704,54.79031822192478,43.87156461274265,18.785378602160062
Italy,128297.29230612266,120842.69687809797,108112.06447650853,106741.5921420984,110098.64607575526,102448.10332346449,96929.46241765204,89741.81209092602,93835.65479122593,72258.27725176944,64908.532714249595,95672.803679562,91979.32568014419,87840.32729787308,94792.56435976173,75202.45549247791,84179.71896868516,80700.97656894109,77976.4967912662,83987.4524342461,79778.65794279643,83992.65829670294,67034.08127038341,59590.62430098014,74507.89941456926,59178.82841579296,59447.98582898368,50885.38585139141,65422.02351626643,79752.49380889068,82367.95808076044,69064.50870161882,56915.3881313855,72603.75075750714,82850.90649070237
Jamaica,276.47031765096733,255.73228174654125,250.03414299292425,310.285311233351,298.9291971114815,327.4860877816104,271.46934723256396,268.1685032780024,187.9296679914739,309.9566786559686,162.07653458970273,209.61461690456684,160.37395879870942,185.58084722089004,157.68554044982662,194.7764914041483,195.3515213182348,215.98371109006982,204.15190944394624,204.9629073167527,209.2573449593278,110.25877848023084,162.02243374059333,208.66410809824905,181.06294430853367,187.10541040798637,167.07973320081965,172.26021321577974,235.0501406049829,200.01029626032056,227.16208758041435,235.71972861144732,247.80064236440737,180.7294740527967,185.65991040898174
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,7.19571057491926,45.14518802057159,62.80499442523609,37.00798223297168,24.29618719668854,15.494824971182432,35.47407035328859,48.56846814080633,31.78088959506932,37.38011892859022,45.702977111377805,33.99413034095814,25.27092520222801,25.30242450021268,68.00383719336713,76.59663364907904,98.72587608060365,74.15874249836938,92.39166745521558,98.24154520418544,81.17108888158441,90.16653151962757,92.84289716268108,85.04871781886666,85.35798796037683,82.92585444115282,90.35241996247476,81.3354140948944,88.850318350512
Japan,168561.7878721021,161252.1214653041,139124.98221192294,132509.01136855583,109234.5696229507,120119.14800441424,114632.1188421967,94590.41205494157,125930.64322648369,124305.14060309582,116188.9839164797,125674.84869206048,104317.63216839846,119175.99213010393,80362.88029196928,96377.52076126394,93649.52251178247,103542.12242374569,104369.36833631196,98562.7608569435,100743.00407565231,96195.44081231761,95900.96780109894,120058.20110285509,116798.48709877457,91055.12185668164,104948.67860138282,91874.93285161901,97580.14807111585,90434.87825833572,98216.82539454562,112951.76036000319,110039.3479671869,116173.8898969449,120942.11814434029
Kenya,-4030.887638882432,-2344.3204880226162,-1537.6820877364567,-853.3152924594783,-774.7665073440564,-465.2189006750242,-1744.5318077462641,-2109.1902801583797,-1226.462293896378,-1274.2397577648303,-1276.8419075802417,-983.0737396336896,-1206.9566301485145,-1457.3510548523204,-1696.2941598144641,-1828.3953102123523,-2353.023645579541,-2688.5368176384964,-5795.676595744685,-23117.239738407436,5745.28056860688,-34412.639366147996,-5175.216686461738,-4555.84169518224,-25401.14634146339,-47959.174825174836,-50827.49735756392,-30957.195507171924,18002.751322751305,6225.803784297785,31427.719774011246,24528.327136814954,-48243.70691684311,23344.365319602668,4789.727771928803
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.005294793003294,73.41994595194907,48.17547545333922,81.00025846471955,85.55705705705711,78.69512085542274,78.51505347883794,69.64523017678977,48.50723798494499,84.45740325944232,2146.224347826088,-5797.698841698844,-7613.831124666415
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",4531.96618517274,6608.184314441952,4694.752353150913,6112.264225799099,5330.149637002882,8139.379311046122,7657.047217084521,8988.033574765366,6187.553356948346,7801.918192518984,9488.763098388757,5118.611048851792,4756.776780970996,6501.5438750486255,3415.1840553275024,3972.5173982866527,3450.642709833508,4215.856117227094,5882.595047403969,5508.550931087602,5450.380661892854,5545.923862896955,4084.651027644868,6138.25124520429,5686.028227816769,4463.707729912292,4205.262956952098,4578.099686656665,3903.654627359661,3690.3654653856634,4998.458214889203,6409.462255695526,5402.892740858741,5803.3469607895695,3617.3936369335993
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lao PDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,4744.020126361535,3831.1294203426864,2266.533333333332,1560.331282242526,1364.0574807269686,1573.7893836742744,1372.139135280732,1316.6858012718212,1734.4528597545047,2727.8402903811248,8348.166969146998,2303.711250574009,2429.910357562531,1703.066412795125,1862.6478374942792,1432.520334377102,1527.1198469551177,1635.4000701689245,1635.617336629462,609.0360982878764,804.2915321436509,576.3102082403828,1193.526914202021,2861.965151780515,1825.92034812757,1682.1154617164636,1193.3759974071097,971.5079486954314,623.8710088349245,1072.3852025447552,1481.6342512767262,1409.5291882733297,2043.1181588689178,2403.5171758397155,302.6456959997753
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,-972.0011563664395,-1272.5564030509834,-2057.1730805687203,-9119.893750000003,-752.3840985961172,-421.3813858333088,-346.3860995497518,-1767.8036282681094,-642.4369071285778,-336.5933573676171,-316.6887658584843,-787.4670652203813,-2140.9864282753274,-925.1140850233021,-973.123843259277,-846.3856216927072,-3528.12185478895,-5664.121168969873,-4600.571198712791,-5714.21521335807,33867.27592096234,34046.51287402655,11183.787901772359,21529.776869816436,11383.204284896969,11949.768190393143,138084.03020900447,15407.872585163062,19186.39337308087,16348.332694138795,-88004.40706638056,20403.376742325665,8047.228138040749,-35100.19743868277,20351.607987589196
Luxembourg,459.5680718974626,566.5264423076922,532.9312310030398,554.7895051860384,556.0084354198133,559.4574687486847,626.2886597938145,723.0053674944536,713.6766858043454,534.9101823231643,466.07387998830376,551.1807524404444,456.51396037509704,425.04910320493974,582.8847736625513,520.9983336071537,278.2685240963855,316.79663461538433,279.55717118308013,166.15443306252206,335.09637488947817,155.28496058095456,87.76333628057765,70.1148099736414,90.08325323574613,80.78520156132848,95.82322384034943,103.24440122923725,121.48480634457313,92.27411385606875,94.46234193482061,55.68651504844385,88.73962621663624,113.98754214722602,102.75506540860387
"Macao SAR, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,6276.020384746261,3036.9029926595144,1393.027298882056,1114.9125639454135,819.5899938873656,1014.87005480153,1512.714262832181,2269.0498467836674,2395.901683781731,3045.745505527825,3220.9778638698094,3455.665119709472,2451.708339938044,1121.9954780053347,2076.054282795856,1531.0974456641218,5481.343524631288,5572.4483016850645,4664.114542240661,1840.117692533989,1621.2193607900715,2028.1053233236141,2026.8309239494326,3515.20670133172,4222.475712849198,2240.352571921835,2240.1411259027686,2078.3770446895583,2084.985590558223,6254.849581099397,8968.535123388336,4384.488530272289,3375.4946475003276,5118.507949051298,3123.536329796695
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,83517.24945331017,167819.1552202026,124617.81014684468,87938.15078605623,107295.94717281684,123948.58230682522,75502.53218819771,60117.10676896129,69433.8432016599,93718.37318899142,79621.66405378764,66232.72380437228,84164.88802488777,85585.98945315377,55726.41676406542,78883.9200560897,95972.52543569029,74679.49050970619,66207.99081983844,92688.99157018027,88637.4673683896,71756.05489891113,58282.70481718009,42764.24960004638,55090.69627852709,61057.899379947754,65656.28515309985,55384.91550753927,86272.70080099598,53790.06784556652,75463.28301696299,68130.5885079761,59797.521998544325,50808.74838596671,73587.99058718549
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,-15368.788503803837,-6135.453646553042,-7808.936423841061,-8812.283539301907,-26817.048938287993,38042.71231988139,29011.016132669116,16697.864614581955,9349.877270818019,340368.55775803054,45085.729178249545,22120.189261905045,-155112.1349633259,-297727.4666666637,22230.1049781922,10378.136926889714,14117.483906862639,9573.80486952469,2556.786573556539,2674.7234036768205,8540.614350152515,8865.678921694485,15184.268832662436,9806.994228490616,23258.13411349309,923763.1937730993,-55143.450001257086,-33427.84089836175,-19739.38209102901,-9183.36092218724,-16495.87636988414,-13249.192690058482,-9456.157211538459,-10390.48900288614,-26494.196815808984
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,-3301.22393162393,627.8090506804705,-4316.301337529508,-4830.964904862568,-2606.207709750569,-1319.0500000000004,-2953.4225245653797,-4709.591836734695,21793.556756756658,-2024.9589041095915,-519.1442495126705,-545.4700952380954,-232.40740740740736,-117.45101351351352,-64.73690340830304,-62.937540372670824,-60.969042132266644,-57.909641728134886,-39.22386449946834,-41.45117292567499,-102.66498246410819,-121.99177105000621,-92.95022216676718,-69.52581302779657,-91.29483259152454,-48.34143641048902,-48.95541796133753,-22.9830675079463,-46.52206629209476,-45.82700275735712,-46.018910089895954,-320.3953805667845,-143.09918414894884,-586.2627239223373,-3713.1646192619874
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,154.55119279680684,88.04217725847818,162.80495956873315,47.79641631719406,105.33599999999998,329.10342036025105,242.90675318433068,342.0385280610722,162.66666666666666,357.7646064947791,154.65291124929342,125.92585531914892,203.53813705234168,170.34306270523575,109.47019867549669,224.01562499999997,165.098777046096,132.38252267106353,161.03015413609748,44.271952309985096,155.51183970856096,114.01070078434144,137.94047295812163,196.376732000394,198.4310969204141,196.90975990682153,142.70947176684882,158.3836400691938,203.4440711683842,229.2404779630173,192.05669701024564,101.318765236291,134.2893478949515,175.86327363659768,171.58093287526424
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,3687.4452575243167,3997.1488911313822,3585.7983586150604,4958.436527396005,12310.346496275211,14031.675650479514,15093.865458859435,18657.431984936422,21938.86341230173,16856.518504355223,11491.086497630078,15053.191900248077,13230.779029437123,15739.7676685876,20280.42098743869,19920.419759752185,13339.946011569698,8330.746867865997,9985.25954493808,14811.73823951067,14503.658121651124,15302.504765029817,10167.216289003967,10770.069864880139,12552.94581445324,12123.225530624135,13818.870545534837,13755.115353991108,18775.779800666474,14675.894405989247,14184.410610613144,17004.648267589124,19219.797435516426,23257.931453758792,29109.340819275487
New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,47142.69911076498,23364.561615746527,21030.430748338713,12206.026368601248,25326.807088053145,29756.866849663227,43517.12640143189,24359.388022949144,42648.55793826605,21100.087653326424,21563.806603982226,64065.72022276678,60067.386499965345,48258.67683580271,30626.23049573107,26900.359497370937,26512.922135282643,28061.335806721592,37118.586882346,41466.93457969046,77273.18325145882,79120.52689752252,89085.63066079667,69853.69921334108,59837.75018926201,61698.4539769218,38566.5762554234,40285.44273510664,37225.587535284416,22679.22842005454,29752.595198622465,26714.730718619907,23942.10647137526,21113.611841263668,20414.226698141945
Nicaragua,-24026.01201056925,14579.190476190526,3541.8660287081307,743.2941176470591,439.9289635908304,518.5714285714287,615.1388727753671,1141.0340802987866,1056.1954668972337,1039.494014518232,977.2608695652177,534.8218408242417,397.27350943396226,1023.8622706429155,698.0535564853558,822.4549257341431,831.7085419118085,791.8319065175278,532.8951470671904,828.5342567654227,342.0930579571488,320.78031711095844,501.10671254223064,487.2911392405062,507.62640564826705,666.8747301417857,435.4763289223253,445.70028342828056,825.8120106123549,405.36337351944246,721.3285341098583,627.3686520490833,468.0362163564627,452.4354369836368,361.195431233408
Netherlands,0.0,0.0,0.0,0.0,0.0,4.663786331595115,4.5683094036730765,1.584254244609592,3.315953748538211,66.4221313027456,153.29637673255888,179.57012666471817,205.72869991068146,159.67835404599856,174.5744457735793,155.98184755949816,134.43547832918972,156.08685895361018,186.60867459897898,146.7962700496968,228.36710451568928,186.0814757672596,177.3162174387594,115.24634774037024,149.28696171610872,136.34402583422653,156.70820008569643,155.3497372605251,142.30895229459063,126.87423701343246,134.72552955316365,74.59696822443273,142.61258195832357,161.81293074492643,166.49906546846015
Norway,-9238.170171843181,-10373.643964478688,-11748.714228083776,-12640.178161358574,-12863.532304021188,-13983.438321808835,-21431.189218600906,-15672.230117136145,-18248.995939187276,-22295.37531455408,-16841.044926073708,-17297.64849909711,-22920.091226106844,-26318.341242295486,-25581.925742792166,-22816.81874157613,-20685.14414233215,-26015.792116178727,-28137.302607836005,-31484.306496595105,-24843.891530787576,-27345.859719153952,-25252.91083681083,-30264.919595097355,-28539.4946116744,-29201.287529791403,-30739.224205251816,-31769.399350744294,-39163.46155981964,-44018.97875173038,-46808.30209007528,-35171.314813036566,-37758.3121088838,-42236.842994044695,-36263.65213371701
Nepal,-22.39031339031339,-21.52204447912603,-17.649181965779935,-13.676898599091933,-18.011385707588243,-49.657975986277854,-19.0623276337562,-23.506086956521745,-55.86246246246245,0.0,0.0,-52.8526569063252,-98.94639376218329,-121.4116192830655,-160.66257570463543,-71.66276737967915,-84.36562693064754,-265.26964846671655,-205.8294017247574,-112.27478345989562,-40.26616822429908,-19.696220155367353,0.0,0.0,-19.88618007128468,-20.213181177040585,-20.60192505510654,-20.329309255936906,-23.833470034995642,-25.377490144186975,0.0,0.0,-23.69280910276686,-27.390860596560724,-298.5392659579071
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
